ID, STATION,RIDES,COMMENT,WIDTH,HEIGHT
434,28TH STREET & BROADWAY        ,395,,,
435,55TH ST-NEW UTRECHT AVE       ,389,,,
436,RI TRAMWAY (MANHATTAN)        ,378,,,
437,SEASIDE BEACH-105TH STREET    ,374,,,
438,TOMPKINSVILLE                 ,258,,,
439,HOYT STREET-FULTON STREET     ,243,,,
440,NORTH CONDUIT AVE-COHANCEY    ,232,,,
441,LEXINGTON AVENUE              ,220,,,
442,42ND STREET & 3RD AVENUE      ,211,,,
443,HOWARD BEACH-159TH AVE        ,211,,,
444,CORTLANDT STREET              ,207,,,
445,HUNTERS PT AVE-49TH AVE       ,172,,,
446,ROCKAWAY PARK-BEACH 116TH     ,143,,,
447,BROAD CHANNEL-NOEL ROAD       ,118,,,
448,21ST STREET-JACKSON AVENUE    ,91,,,
449,SMITH STREET-9TH STREET       ,1,,,
450,AIRTRAIN @ HOWARD BEACH       ,0,,,
451,AIRTRAIN JAMAICA CENTER 1     ,0,,,
452,PA-PATH 14TH STREET           ,0,,,
453,PA-PATH 9TH STREET            ,0,,,
454,PA-PATH CHRISTOPHER ST        ,0,,,
455,PA-PATH EXCHANGE PLACE        ,0,,,
456,PA-PATH GROVE ST              ,0,,,
457,PA-PATH HARRISON              ,0,,,
458,PA-PATH HOBOKEN               ,0,,,
459,PA-PATH JOURNAL SQUARE        ,0,,,
460,PA-PATH NEWARK                ,0,,,
461,PA-PATH PAVONIA/NEWPORT       ,0,,,
462,PA-PATH THIRTY THIRD ST       ,0,,,
463,PA-PATH TWENTY THIRD ST       ,0,,,
464,PA-PATH WORLD TRADE CNTR      ,0,,,
